Strategy,Expected_Return,Volatility,Sharpe_Ratio,Optimization_Method
Maximum Sharpe,0.35368233378084735,0.14054235066354753,2.374247564562719,max_sharpe
Minimum Variance,0.09404457099377364,0.08419931812978235,0.8793963257474784,min_variance
Cluster Equal Weight,0.30746681159266365,0.15419270608756663,1.864334694466093,cluster_equal_weight
Cluster Risk Parity,0.2850061164972547,0.14463770530765543,1.8322063111660025,cluster_risk_parity
Cluster Sharpe Weighted,0.349214607787872,0.16759699016820342,1.9643229121087804,cluster_sharpe_weighted
