Date,AAPL,MSFT,GOOGL,NVDA,META,TSLA,JNJ,PFE,UNH,ABBV,JPM,BAC,WFC,GS,V,AMZN,HD,MCD,SBUX,PG,KO,PEP,WMT,XOM,CVX,COP,BA,CAT,GE,VZ,T,DIS,NEE,AMT,LIN,NEM,SPY,QQQ,IWM,VTI,EFA,EEM,TLT,GLD,VNQ
2015-07-06 00:00:00-04:00,28.219823837280273,38.49015426635742,27.118362426757812,0.4881382882595062,87.07231903076172,18.648000717163086,74.34672546386719,20.884262084960938,104.52944946289062,44.97547912597656,51.500274658203125,13.670259475708008,42.46169662475586,170.1266326904297,63.52982711791992,21.802000045776367,87.95694732666016,74.61054229736328,44.46556091308594,60.601837158203125,28.741609573364258,70.16697692871094,19.934389114379883,53.2558708190918,61.62958908081055,43.050453186035156,124.45462036132812,64.18999481201172,110.031005859375,28.15360450744629,12.99240779876709,106.68263244628906,19.425628662109375,74.94355773925781,98.21070861816406,18.786081314086914,174.25958251953125,99.86798858642578,108.58626556396484,90.5492935180664,46.905303955078125,30.938562393188477,91.37103271484375,112.05999755859375,51.217037200927734
2015-07-07 00:00:00-04:00,28.150394439697266,38.412105560302734,27.33754539489746,0.47894176840782166,86.7441177368164,17.858667373657227,74.89183044433594,21.185747146606445,103.28016662597656,45.19963455200195,51.09487533569336,13.468514442443848,42.31875228881836,170.2656707763672,63.203392028808594,21.836000442504883,88.81031799316406,75.41398620605469,44.522865295410156,61.86610412597656,29.346773147583008,71.6535873413086,20.28069496154785,53.47526931762695,61.954750061035156,43.48051452636719,126.78389739990234,64.83843994140625,110.70014953613281,28.279300689697266,13.05078411102295,107.9735107421875,19.893579483032227,75.45642852783203,98.74400329589844,17.644426345825195,175.35543823242188,100.11837005615234,108.70912170410156,91.04718780517578,46.92026901245117,30.474525451660156,92.22943878173828,110.76000213623047,52.01948547363281
2015-07-08 00:00:00-04:00,27.45161247253418,38.36008834838867,26.92353057861328,0.47555357217788696,85.18268585205078,16.997333526611328,74.02115631103516,21.009876251220703,101.63725280761719,44.606292724609375,50.04697036743164,13.113442420959473,41.566436767578125,166.8719940185547,62.23349380493164,21.485000610351562,87.70411682128906,74.7587661743164,43.71232604980469,61.31343078613281,29.06243133544922,71.06639862060547,20.080053329467773,52.89450454711914,60.842735290527344,42.540199279785156,125.69454956054688,63.51063537597656,108.27456665039062,28.20661735534668,12.91795825958252,106.21239471435547,19.713754653930664,74.54903411865234,96.73580169677734,17.731029510498047,172.41343688964844,98.37507629394531,107.0505599975586,89.52818298339844,45.82787322998047,29.42643928527832,93.02597045898438,111.08999633789062,51.818870544433594
2015-07-09 00:00:00-04:00,26.89169692993164,38.602874755859375,27.07015037536621,0.46974533796310425,85.41143035888672,17.19466781616211,74.49816131591797,21.267406463623047,102.11644744873047,44.8106689453125,50.567100524902344,13.299046516418457,41.75450897216797,167.48526000976562,62.53192138671875,21.719499588012695,88.00437927246094,75.26575469970703,44.252689361572266,61.063602447509766,29.106172561645508,70.30823516845703,20.00310516357422,52.65574645996094,60.98578643798828,42.76614761352539,126.47395324707031,63.06287384033203,108.81822967529297,28.012859344482422,12.769434928894043,106.59042358398438,19.564851760864258,74.47801971435547,96.6607666015625,17.786151885986328,172.7253875732422,98.31944274902344,107.43669891357422,89.71385955810547,46.583560943603516,29.994489669799805,91.19312286376953,111.36000061035156,51.571441650390625
2015-07-10 00:00:00-04:00,27.610633850097656,38.6809196472168,27.63973617553711,0.4779737591743469,87.47013092041016,17.27666664123535,75.3536605834961,21.581445693969727,104.52092742919922,45.64134216308594,51.28609848022461,13.476580619812012,42.19087219238281,169.4315185546875,63.80960464477539,22.175500869750977,89.36337280273438,76.17062377929688,44.67844009399414,61.28316116333008,29.448850631713867,71.02181243896484,20.09654998779297,53.055843353271484,61.395469665527344,43.10147476196289,127.96186065673828,63.41799545288086,109.8637466430664,28.460956573486328,12.865972518920898,107.3649673461914,19.6538028717041,75.29074096679688,97.8023681640625,17.731029510498047,174.90023803710938,99.82161712646484,108.92849731445312,90.80245971679688,48.109920501708984,30.754549026489258,89.7469711303711,111.48999786376953,51.99943161010742
2015-07-13 00:00:00-04:00,28.1436767578125,39.48728942871094,28.416078567504883,0.4811197817325592,89.6083984375,17.477333068847656,75.91390991210938,21.8703670501709,104.77759552001953,46.20588684082031,52.08159255981445,13.734819412231445,42.687408447265625,171.82754516601562,64.83548736572266,22.778499603271484,90.7856216430664,76.7790298461914,45.60361099243164,62.00994110107422,29.645715713500977,72.26310729980469,20.305429458618164,53.18488311767578,61.519065856933594,42.95568084716797,129.857177734375,64.5682373046875,110.70014953613281,28.582069396972656,12.951377868652344,108.8494873046875,19.717618942260742,75.51167297363281,98.7190170288086,17.715282440185547,176.8306427001953,101.5741958618164,110.15705871582031,91.83201599121094,48.289485931396484,30.962562561035156,89.46858978271484,110.98999786376953,52.07299041748047
2015-07-14 00:00:00-04:00,28.132474899291992,39.55666732788086,29.034866333007812,0.481361985206604,89.1906967163086,17.709999084472656,75.54293823242188,22.03367805480957,106.9595947265625,46.358642578125,52.80824661254883,13.823579788208008,43.07109451293945,173.49578857421875,65.37640380859375,23.278499603271484,91.14907836914062,77.05206298828125,45.644535064697266,62.10833740234375,30.01756477355957,72.19619750976562,20.28069496154785,53.630149841308594,62.136837005615234,43.393043518066406,130.8580322265625,65.20127868652344,111.49473571777344,28.70924186706543,13.040491104125977,108.66508483886719,19.721481323242188,75.33808898925781,99.3856201171875,17.439712524414062,177.5977020263672,102.24182891845703,110.77132415771484,92.2455062866211,48.69353103637695,31.018577575683594,89.76242065429688,110.73999786376953,52.17998123168945
2015-07-15 00:00:00-04:00,28.40347671508789,39.67806625366211,29.02393341064453,0.4779737591743469,89.27025604248047,17.542667388916016,76.0274887084961,21.970869064331055,107.69544982910156,46.32542419433594,52.9229736328125,14.267426490783691,43.46982955932617,174.1500244140625,65.30179595947266,23.059499740600586,91.32290649414062,77.27828979492188,45.30885696411133,62.191627502441406,29.988378524780273,71.61640930175781,20.24221420288086,53.40428161621094,61.28494644165039,42.58393096923828,130.09632873535156,64.96968841552734,111.95478057861328,28.660789489746094,12.895679473876953,109.08000183105469,19.872310638427734,75.70893096923828,98.90233612060547,17.16413688659668,177.5387420654297,102.35310363769531,110.18339538574219,92.12736511230469,48.513946533203125,30.66654396057129,90.71368408203125,110.16000366210938,52.26692199707031
2015-07-16 00:00:00-04:00,28.781980514526367,40.458431243896484,29.909624099731445,0.48862224817276,90.35430145263672,17.778667449951172,76.54984283447266,22.046245574951172,106.89967346191406,46.48483657836914,53.20598220825195,14.485309600830078,43.763240814208984,172.6943817138672,65.81473541259766,23.77400016784668,90.65130615234375,76.33441162109375,45.636348724365234,62.30519104003906,30.24358558654785,72.02526092529297,20.29168701171875,53.50107955932617,61.44100570678711,42.241329193115234,131.51341247558594,65.25794982910156,113.08394622802734,28.96355628967285,13.055341720581055,109.78999328613281,20.193296432495117,77.18443298339844,98.50237274169922,16.833457946777344,178.96337890625,103.79965209960938,110.8415298461914,92.76872253417969,48.93294906616211,31.050573348999023,91.34011840820312,109.76000213623047,52.688201904296875
2015-07-17 00:00:00-04:00,29.030574798583984,40.42376708984375,34.77245330810547,0.48571810126304626,94.45184326171875,18.310667037963867,75.77007293701172,22.027402877807617,105.97553253173828,46.48483657836914,52.938262939453125,14.606358528137207,43.590213775634766,173.7411346435547,66.10383605957031,24.15049934387207,90.44586944580078,76.05362701416016,45.59539794921875,62.25977325439453,30.07588768005371,71.93604278564453,20.170759201049805,53.3074836730957,60.576107025146484,41.694644927978516,130.05203247070312,64.79048919677734,113.92035675048828,28.8182430267334,12.999648094177246,109.59636688232422,20.04247283935547,76.49796295166016,97.50243377685547,16.290191650390625,179.11512756347656,105.32965087890625,110.35887145996094,92.79403686523438,48.850643157958984,31.01056671142578,91.81181335449219,108.6500015258789,52.50096893310547
