Configuration,Sharpe_Ratio,Expected_Return,Volatility,Max_Weight,Active_Assets,Effective_Assets,Concentration_Score,Balance_Score
Unconstrained,2.730771755581911,0.3933251708354604,0.13671049954004927,0.39509656832038037,7,4.077867495902378,0.9137105611655626,1.9405786189411502
Moderate,2.721448234359652,0.39949569080597674,0.13944622793652764,0.2999999999999514,8,5.250290920329757,0.8914872142080692,2.1214482343597494
Conservative,2.688553693687412,0.4023399026994492,0.14221025363829032,0.199999999999995,8,6.73602400616512,0.8652942419683963,2.288553693687422
Strict,2.6471540023853057,0.39968108570824257,0.14342991959142473,0.14999999999999664,8,7.728975550844854,0.8419724240005387,2.3471540023853126
Ultra-Diversified,2.5391444500263503,0.4329726737912672,0.16264244981689857,0.1,11,10.548303175158733,0.7756720997184685,2.33914445002635
