Asset,Horizon,Model,Test_R2,Test_RMSE,Test_MAE,Train_R2,Overfitting
AAPL,1M,linear_regression,-0.2649311610067697,0.07813891681161594,0.0655247846408634,0.25012153116919067,0.5150526921759604
AAPL,1M,ridge_regression,-0.262799627900429,0.07807305318280235,0.06546714006304635,0.250110701277134,0.512910329177563
AAPL,1M,lasso_regression,-0.07263911218804653,0.071954963185602,0.05748939400182834,0.0,0.07263911218804653
AAPL,1M,decision_tree,-0.7820692779136194,0.09274622302108644,0.0746221040111505,0.9082724085483933,1.6903416864620127
AAPL,1M,random_forest,-0.424227702265185,0.08291319588832916,0.06622306646515745,0.937380686560065,1.3616083888252501
AAPL,1M,gradient_boosting,-0.4382714966214769,0.08332098161858288,0.06669164204166811,0.9872843840681085,1.4255558806895854
AAPL,3M,linear_regression,-0.33884887079500614,0.14202206131486023,0.11952184726036276,0.27187184454347113,0.6107207153384773
AAPL,3M,ridge_regression,-0.33685593413111214,0.14191631884178532,0.11937732247998528,0.2718630924691453,0.6087190266002575
AAPL,3M,lasso_regression,-0.22293747587490276,0.13573509783632942,0.10884713636295583,0.0,0.22293747587490276
AAPL,3M,decision_tree,-0.8495872504120865,0.16692732924731626,0.1429646139893033,0.9487417596488987,1.7983290100609852
AAPL,3M,random_forest,-0.20348481740612345,0.13465123508082666,0.11096893977407984,0.9722252564331295,1.175710073839253
AAPL,3M,gradient_boosting,-0.3820687836127352,0.144296189397873,0.12257042056090131,0.9946301714027546,1.3766989550154898
MSFT,1M,linear_regression,-0.15497917457871235,0.06852736601408657,0.05522971993713006,0.14513343381641508,0.30011260839512743
MSFT,1M,ridge_regression,-0.1549179853882412,0.06852555074776753,0.0552093327376127,0.14510815007655464,0.30002613546479584
MSFT,1M,lasso_regression,-0.003912938493743967,0.06388883782515063,0.049914500920670325,0.0,0.003912938493743967
MSFT,1M,decision_tree,-0.7586191727741174,0.08455958915000122,0.06757374090995064,0.8699876318971489,1.6286068046712663
MSFT,1M,random_forest,-0.14637285218593732,0.06827157292503302,0.05235715937346151,0.8955726845852255,1.0419455367711628
MSFT,1M,gradient_boosting,-0.10632473981829427,0.06706845076108398,0.05113430558020498,0.9814972822517865,1.0878220220700807
MSFT,3M,linear_regression,-0.021266214870694133,0.093073996492748,0.07372430694665884,0.151815942413152,0.17308215728384613
MSFT,3M,ridge_regression,-0.020146576492265256,0.09302296288641891,0.07368565339577494,0.15180505751673135,0.1719516340089966
MSFT,3M,lasso_regression,-0.09376541896530699,0.09632099808546815,0.07862272565789571,0.0,0.09376541896530699
MSFT,3M,decision_tree,-1.4461312292079755,0.1440451884321681,0.113621678877462,0.9031966618695887,2.3493278910775643
MSFT,3M,random_forest,-0.553897234713131,0.11480743835736358,0.09059318941958566,0.9373734420080625,1.4912706767211934
MSFT,3M,gradient_boosting,-0.4292339657317361,0.11010588810904912,0.09050316643869405,0.9916609290536116,1.4208948947853477
NVDA,1M,linear_regression,-0.06308611605328096,0.13918098456173597,0.11266940881229447,0.13875864745470734,0.2018447635079883
NVDA,1M,ridge_regression,-0.062537556042914,0.13914507073834212,0.1126557351046124,0.13875662545693135,0.20129418149984535
NVDA,1M,lasso_regression,-0.007224814174857652,0.13547491572035553,0.1112143041640872,0.0,0.007224814174857652
NVDA,1M,decision_tree,-2.3588951114373033,0.24739670002245032,0.19614390218294253,0.8991195896814204,3.2580147011187237
NVDA,1M,random_forest,-0.5449288871434768,0.16778376210392382,0.13655080203094513,0.9067222731258979,1.4516511602693747
NVDA,1M,gradient_boosting,-0.5206630051937229,0.16646087435071613,0.13657535196620385,0.9850490731860917,1.5057120783798146
NVDA,3M,linear_regression,-0.17889744732777468,0.24754260920757776,0.19621237096875804,0.21816975583162002,0.3970672031593947
NVDA,3M,ridge_regression,-0.17831839019625995,0.24748180709130715,0.196196814269461,0.21816590878132935,0.3964842989775893
NVDA,3M,lasso_regression,-0.010006798255207006,0.22912585528561202,0.18708212141357158,0.0,0.010006798255207006
NVDA,3M,decision_tree,-0.16040464892935558,0.24559339384488685,0.2029234086809929,0.9520393568679694,1.1124440057973248
NVDA,3M,random_forest,-0.21618216278670976,0.2514266248121914,0.20525579778704844,0.9705627126117231,1.1867448753984329
NVDA,3M,gradient_boosting,-0.321117833680751,0.2620491336153098,0.2150572192280004,0.9956408115309255,1.3167586452116766
JPM,1M,linear_regression,-0.2370362435801976,0.06962633429949402,0.05658181267399366,0.18739917726990285,0.42443542085010044
JPM,1M,ridge_regression,-0.23503030562532645,0.06956985949011886,0.0565508338497823,0.1873721432587987,0.42240244888412515
JPM,1M,lasso_regression,-0.08664963269952364,0.06525699747495206,0.05323665097003264,0.0,0.08664963269952364
JPM,1M,decision_tree,-4.819825001151408,0.15102097919789687,0.10216005099485034,0.9236270707998355,5.743452071951243
JPM,1M,random_forest,-0.8130068027723218,0.08429116100599758,0.06734290054491206,0.9430299988240449,1.7560368015963668
JPM,1M,gradient_boosting,-1.0588710255951637,0.08982493049710823,0.06957501083585023,0.9878073797963816,2.046678405391545
JPM,3M,linear_regression,-0.5925619103905961,0.1056433707155656,0.08828627290738321,0.19819849139357515,0.7907604017841713
JPM,3M,ridge_regression,-0.5905763238698267,0.10557749275027863,0.08823685607325223,0.19819208732382576,0.7887684111936525
JPM,3M,lasso_regression,-0.2875690302109928,0.09499031950199324,0.0809725029176236,0.0,0.2875690302109928
JPM,3M,decision_tree,-3.579363619269591,0.17914168389368615,0.11961487899371548,0.917371366246126,4.496734985515717
