Date,AAPL,MSFT,GOOGL,NVDA,META,TSLA,JNJ,PFE,UNH,ABBV,JPM,BAC,WFC,GS,V,AMZN,HD,MCD,NKE,SBUX,PG,KO,PEP,WMT,XOM,CVX,COP,BA,CAT,GE,VZ,T,DIS,NEE,AMT,LIN,NEM,SPY,QQQ,IWM,VTI,EFA,EEM,TLT,GLD,VNQ
2015-07-13 00:00:00-04:00,28.1436710357666,39.4873161315918,28.416078567504883,0.48111987113952637,89.60840606689453,17.477333068847656,75.91390228271484,21.870372772216797,104.77761840820312,46.20589828491211,51.83187484741211,13.73481559753418,42.68741226196289,171.82754516601562,64.83548736572266,22.778499603271484,90.78560638427734,76.77903747558594,49.7974853515625,45.603607177734375,62.00994110107422,29.645719528198242,72.26309204101562,20.305429458618164,53.18488311767578,61.519046783447266,42.9556884765625,129.85719299316406,64.56824493408203,110.53872680664062,28.58207130432129,12.951375961303711,108.8494873046875,19.717618942260742,75.51165008544922,98.718994140625,17.715288162231445,176.83067321777344,101.57418060302734,110.15703582763672,91.8320083618164,48.28948974609375,30.962566375732422,89.13603210449219,110.98999786376953,52.07299041748047
2015-07-14 00:00:00-04:00,28.132476806640625,39.55666732788086,29.034868240356445,0.48136189579963684,89.1906967163086,17.709999084472656,75.5429458618164,22.033676147460938,106.95958709716797,46.35865020751953,52.55504608154297,13.823585510253906,43.07109451293945,173.4957733154297,65.37638854980469,23.278499603271484,91.14909362792969,77.05206298828125,49.766456604003906,45.64453887939453,62.10834503173828,30.017568588256836,72.19620513916016,20.280696868896484,53.6301383972168,62.13682174682617,43.393035888671875,130.85801696777344,65.20130157470703,111.3321762084961,28.709232330322266,13.04049015045166,108.66506958007812,19.72148323059082,75.33808898925781,99.38563537597656,17.439712524414062,177.59774780273438,102.2417984008789,110.77131652832031,92.24549865722656,48.69351577758789,31.018569946289062,89.42880249023438,110.73999786376953,52.17998123168945
2015-07-15 00:00:00-04:00,28.40347671508789,39.67807388305664,29.02393341064453,0.47797369956970215,89.270263671875,17.542667388916016,76.0274887084961,21.97086524963379,107.69547271728516,46.325443267822266,52.66923904418945,14.267426490783691,43.46982192993164,174.14996337890625,65.30180358886719,23.059499740600586,91.32289123535156,77.27826690673828,49.57155227661133,45.30886459350586,62.1916389465332,29.988386154174805,71.61641693115234,20.242218017578125,53.404293060302734,61.28493881225586,42.58393096923828,130.09637451171875,64.96969604492188,111.79154205322266,28.660789489746094,12.89567756652832,109.08000183105469,19.8723087310791,75.70893096923828,98.90232849121094,17.164140701293945,177.5387725830078,102.35311889648438,110.1833724975586,92.12738037109375,48.513954162597656,30.666542053222656,90.37647247314453,110.16000366210938,52.266910552978516
2015-07-16 00:00:00-04:00,28.781972885131836,40.458438873291016,29.909622192382812,0.48862224817276,90.35431671142578,17.778667449951172,76.54985809326172,22.04623794555664,106.8996810913086,46.484825134277344,52.95088577270508,14.485310554504395,43.763248443603516,172.69436645507812,65.8147201538086,23.77400016784668,90.65129852294922,76.33443450927734,49.766456604003906,45.636356353759766,62.30519104003906,30.24359130859375,72.02523803710938,20.291688919067383,53.50109100341797,61.441009521484375,42.24134063720703,131.513427734375,65.25794219970703,112.9190444946289,28.96356964111328,13.055340766906738,109.78998565673828,20.193296432495117,77.18444061279297,98.50235748291016,16.833459854125977,178.96340942382812,103.79967498779297,110.84152221679688,92.76874542236328,48.932945251464844,31.05057144165039,91.00057983398438,109.76000213623047,52.688194274902344
2015-07-17 00:00:00-04:00,29.03058433532715,40.42375946044922,34.772457122802734,0.48571810126304626,94.45182800292969,18.310667037963867,75.77008056640625,22.02739906311035,105.9755630493164,46.484825134277344,52.6844596862793,14.606353759765625,43.5901985168457,173.7411346435547,66.10385131835938,24.15049934387207,90.44587707519531,76.0535888671875,49.970252990722656,45.59540939331055,62.2597541809082,30.075895309448242,71.93604278564453,20.170753479003906,53.3074836730957,60.57611083984375,41.69464111328125,130.0520477294922,64.79048156738281,113.7542724609375,28.8182373046875,12.999645233154297,109.59636688232422,20.0424747467041,76.49798583984375,97.50242614746094,16.29018783569336,179.11512756347656,105.32967376708984,110.35891723632812,92.79407501220703,48.850650787353516,31.010568618774414,91.47062683105469,108.6500015258789,52.50095748901367
2015-07-20 00:00:00-04:00,29.579303741455078,40.68389129638672,34.43547821044922,0.47676360607147217,97.37580871582031,18.817333221435547,75.98963165283203,22.13417625427246,104.94873809814453,47.02280807495117,52.722530364990234,14.622499465942383,43.672950744628906,173.6839141845703,67.80119323730469,24.405000686645508,89.60831451416016,76.04582977294922,50.11642837524414,46.02115249633789,62.221923828125,30.170679092407227,72.32998657226562,20.091049194335938,52.758995056152344,60.439552307128906,41.235416412353516,129.94578552246094,64.08148193359375,113.33665466308594,29.127065658569336,12.9588041305542,110.2602310180664,19.94578742980957,76.58479309082031,97.25241088867188,14.298202514648438,179.2078094482422,105.6913070678711,109.76217651367188,92.802490234375,48.97783660888672,30.810548782348633,91.08536529541016,105.69999694824219,52.56114959716797
2015-07-21 00:00:00-04:00,29.28366470336914,40.99604797363281,34.56023025512695,0.47894173860549927,97.8531723022461,17.784666061401367,75.96691131591797,22.071367263793945,103.41707611083984,46.850128173828125,52.600730895996094,14.590217590332031,43.59772491455078,172.95608520507812,67.16703033447266,24.399999618530273,89.9638900756836,75.9132080078125,50.05441665649414,46.012969970703125,61.79795837402344,30.03214454650879,72.04755401611328,19.992109298706055,52.694461822509766,61.063819885253906,41.177093505859375,128.42242431640625,64.05813598632812,112.12562561035156,28.442798614501953,12.83626937866211,110.01129150390625,19.748550415039062,76.49798583984375,96.16084289550781,14.754866600036621,178.49972534179688,105.62639617919922,109.24441528320312,92.39739990234375,48.83567428588867,30.81855010986328,91.57842254638672,105.37000274658203,52.414031982421875
2015-07-22 00:00:00-04:00,28.04512596130371,39.4873161315918,34.54780960083008,0.4697452783584595,96.51053619384766,17.857999801635742,75.84578704833984,21.908056259155273,103.2031478881836,46.8634033203125,53.34673309326172,14.888800621032715,44.02656555175781,174.38719177246094,67.12037658691406,24.41349983215332,90.78560638427734,76.11602020263672,50.54170608520508,46.41415023803711,61.69339370727539,29.820707321166992,72.22592163085938,20.107542037963867,52.77834701538086,60.81022644042969,40.69601058959961,129.72434997558594,62.14152145385742,111.20689392089844,28.127912521362305,12.72487735748291,110.02972412109375,19.878108978271484,76.1744613647461,95.9525146484375,14.581649780273438,178.17941284179688,104.43018341064453,109.64807891845703,92.26241302490234,48.461578369140625,30.378517150878906,92.14861297607422,104.80000305175781,52.64140701293945
2015-07-23 00:00:00-04:00,28.031688690185547,39.98155975341797,33.535377502441406,0.47555357217788696,94.91927337646484,17.81333351135254,75.86092376708984,21.84524917602539,102.10790252685547,46.83683776855469,53.01179122924805,14.670917510986328,43.793331146240234,172.58811950683594,66.91522216796875,24.108999252319336,90.5406723022461,75.73381042480469,50.501834869384766,46.307708740234375,61.594181060791016,29.776954650878906,72.00294494628906,19.92889976501465,52.358924865722656,60.439552307128906,39.92034912109375,129.40550231933594,59.89769744873047,109.66175842285156,28.067346572875977,12.59862995147705,109.5410385131836,19.73695182800293,77.32647705078125,95.99417877197266,13.85728931427002,177.17630004882812,104.0407485961914,108.43708801269531,91.73075103759766,48.334373474121094,30.082490921020508,93.29661560058594,104.33000183105469,51.986053466796875
2015-07-24 00:00:00-04:00,27.883867263793945,39.83414840698242,32.543331146240234,0.4699873924255371,96.4210205078125,17.694000244140625,75.06598663330078,21.51864242553711,100.91851806640625,45.216285705566406,52.456111907958984,14.444963455200195,43.46982192993164,169.5624237060547,69.75971984863281,26.47100067138672,89.75055694580078,74.96153259277344,50.05441665649414,46.905391693115234,61.28125,29.485301971435547,71.49008178710938,19.673297882080078,51.584564208984375,58.917808532714844,38.479854583740234,127.58988189697266,59.290000915527344,107.53201293945312,27.87963104248047,12.732301712036133,109.6424560546875,19.777563095092773,76.3717269897461,94.14430236816406,14.014761924743652,175.33863830566406,103.0207290649414,106.69078063964844,90.76869201660156,47.80315399169922,29.650455474853516,93.52772521972656,105.3499984741211,52.20673370361328
