Strategy,Expected_Return,Volatility,Sharpe_Ratio,Optimization_Method
Maximum Sharpe,0.4023399026994492,0.14221025363829032,2.688553693687412,max_sharpe_enhanced
Minimum Variance,0.09687654516903604,0.08966270724872986,0.8573970999534486,min_variance_enhanced
Max Sharpe Enhanced,0.4023399026994492,0.14221025363829032,2.688553693687412,max_sharpe_enhanced
Max Sharpe Strict,0.34337737164480653,0.1236825642409022,2.614575252619679,max_sharpe_strict
Cluster Equal Weight,0.3412426800890245,0.14774290166807094,2.17433579862097,cluster_equal_weight
Cluster Sharpe Weighted,0.38820706217077283,0.16033535432909352,2.2964807962130167,cluster_sharpe_weighted
