Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2015-07-13 00:00:00-04:00,108.57286572459857,109.08921850366696,108.11183444763638,108.8494873046875,7595200,0.0,0.0,DIS
2015-07-14 00:00:00-04:00,108.83104111965906,108.93246856244625,108.52675879129752,108.66506958007812,5061700,0.0,0.0,DIS
2015-07-15 00:00:00-04:00,108.84026359974045,109.63323795081307,108.6650694651517,109.08000183105469,4845200,0.0,0.0,DIS
2015-07-16 00:00:00-04:00,109.72544156074076,109.86375234781511,109.30129363921725,109.78998565673828,6303000,0.0,0.0,DIS
2015-07-17 00:00:00-04:00,109.43961792054245,109.63325023241048,108.83105319628888,109.59636688232422,5109900,0.0,0.0,DIS
2015-07-20 00:00:00-04:00,109.99283205961287,110.55529072484646,109.62400566744323,110.2602310180664,6951000,0.0,0.0,DIS
2015-07-21 00:00:00-04:00,110.42622391344028,110.46310726327306,109.56870537547225,110.01129150390625,4785200,0.0,0.0,DIS
2015-07-22 00:00:00-04:00,109.98361818037723,110.37088275719208,109.6608976996982,110.02972412109375,4714100,0.0,0.0,DIS
2015-07-23 00:00:00-04:00,110.0020698082142,110.34322846427811,109.32896102216664,109.5410385131836,3347200,0.0,0.0,DIS
2015-07-24 00:00:00-04:00,110.04815877400931,110.46309112291533,109.33817373911215,109.6424560546875,4320900,0.0,0.0,DIS
2015-07-27 00:00:00-04:00,109.38427863915325,109.54103462032514,108.60052687240997,109.03389739990234,5179300,0.0,0.0,DIS
2015-07-28 00:00:00-04:00,109.43039396807038,109.63324887364077,108.68352548372455,109.2275390625,6447300,0.0,0.0,DIS
2015-07-29 00:00:00-04:00,109.58713711990886,110.51842230304321,109.18143436504954,110.4999771118164,6083500,0.0,0.0,DIS
2015-07-30 00:00:00-04:00,110.38011115277143,110.97023064410357,109.73467015749542,110.6751708984375,4430100,0.0,0.0,DIS
2015-07-31 00:00:00-04:00,110.7581643901256,111.311400554886,110.27868788849494,110.64751434326172,5767300,0.0,0.0,DIS
