Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2015-07-13 00:00:00-04:00,98.585665868324,98.8356532001674,98.17735915992557,98.718994140625,1280000,0.0,0.0,LIN
2015-07-14 00:00:00-04:00,98.65234881085831,99.46063413280359,98.32736903197521,99.38563537597656,875600,0.0,0.0,LIN
2015-07-15 00:00:00-04:00,99.2856377811457,99.61061753473045,98.66067573849155,98.90232849121094,1112400,0.0,0.0,LIN
2015-07-16 00:00:00-04:00,99.08565924824366,99.1773145059609,98.269039319754,98.50235748291016,1579300,0.0,0.0,LIN
2015-07-17 00:00:00-04:00,98.16072034895109,98.5106976133048,97.09411298160478,97.50242614746094,979900,0.0,0.0,LIN
2015-07-20 00:00:00-04:00,97.41907122211823,97.79404584684958,96.89409911856431,97.25241088867188,1086000,0.0,0.0,LIN
2015-07-21 00:00:00-04:00,97.44409925719646,97.71074951693411,95.79419640432715,96.16084289550781,995000,0.0,0.0,LIN
2015-07-22 00:00:00-04:00,96.0775083385674,96.64414089070556,95.67752980164033,95.9525146484375,1168400,0.0,0.0,LIN
2015-07-23 00:00:00-04:00,95.94418383691968,96.21916869459788,95.3525537948336,95.99417877197266,1339200,0.0,0.0,LIN
2015-07-24 00:00:00-04:00,95.80253351555429,96.18584287659985,93.85264827486424,94.14430236816406,1550300,0.0,0.0,LIN
2015-07-27 00:00:00-04:00,93.60264164222342,94.12760742327947,92.94434758553543,93.17766571044922,1312000,0.0,0.0,LIN
2015-07-28 00:00:00-04:00,93.61097719207756,96.30248315996819,93.10268058455455,96.14415740966797,2030300,0.0,0.0,LIN
2015-07-29 00:00:00-04:00,94.16928627015609,96.96911684588402,93.23600729243249,96.60247039794922,2795500,0.0,0.0,LIN
2015-07-30 00:00:00-04:00,96.85244738902051,97.1440950516034,94.65257529460703,95.21920776367188,2517300,0.0,0.0,LIN
2015-07-31 00:00:00-04:00,95.36089591815298,95.6525436580179,94.67760420299344,95.11090850830078,2223000,0.0,0.0,LIN
2015-08-03 00:00:00-04:00,95.0775569811189,95.22754812485981,94.31927301258176,94.6859130859375,876800,0.0,0.0,LIN
2015-08-04 00:00:00-04:00,94.977571529447,95.68586060207446,94.31094278024297,94.48593139648438,1167600,0.0,0.0,LIN
2015-08-05 00:00:00-04:00,95.20255507677368,95.49420277050935,94.4359364653991,94.48593139648438,1110000,0.0,0.0,LIN
2015-08-06 00:00:00-04:00,94.519281299957,95.07757932720394,94.11097445170341,94.44428253173828,981300,0.0,0.0,LIN
2015-08-07 00:00:00-04:00,94.25262525897135,94.66093208226157,93.69432726585809,94.28595733642578,1536000,0.0,0.0,LIN
2015-08-10 00:00:00-04:00,94.9942277720794,96.29414674931573,94.78590709714062,96.21915435791016,1467900,0.0,0.0,LIN
2015-08-11 00:00:00-04:00,95.16923633984592,95.6358727152138,94.51927671488532,94.97758483886719,958500,0.0,0.0,LIN
2015-08-12 00:00:00-04:00,94.50261635632295,95.03591690155902,93.79432080824769,94.53594207763672,1476900,0.0,0.0,LIN
2015-08-13 00:00:00-04:00,94.30260454776766,95.06922312967488,94.119281330911,94.71924591064453,1163300,0.0,0.0,LIN
2015-08-14 00:00:00-04:00,94.73589703519681,95.11087164720631,94.53590464184639,94.98587799072266,850200,0.0,0.0,LIN
2015-08-17 00:00:00-04:00,94.8859000897271,95.29420681866684,94.15260727006459,94.99422454833984,1146100,0.0,0.0,LIN
2015-08-18 00:00:00-04:00,94.71927472960357,95.01925711074193,94.33596532202556,94.58595275878906,820600,0.0,0.0,LIN
2015-08-19 00:00:00-04:00,93.96928285263625,94.36926132705861,92.91935127748165,93.6776351928711,1073100,0.0,0.0,LIN
2015-08-20 00:00:00-04:00,93.25268130931563,94.10262696904086,93.02769139288264,93.03602600097656,1532800,0.0,0.0,LIN
